cbsa,name,line,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
12980,"Battle Creek, MI (Metropolitan Statistical Area)",housing,75.644,76.09,68.626,73.021,79.44,73.791,79.579,73.603,71.373,70.963,70.737,67.608,67.339,62.116,62.517,56.987,61.045
13020,"Bay City, MI (Metropolitan Statistical Area)",all,94.13,93.892,92.47,92.662,93.175,93.376,92.893,91.011,92.025,89.374,92.771,92.449,88.752,91.479,88.2,90.62,91.921
13020,"Bay City, MI (Metropolitan Statistical Area)",housing,68.041,71.965,67.675,72.611,73.717,73.316,72.965,68.567,72.807,62.501,72.299,66.608,58.524,67.581,53.25,65.635,66.684
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",all,93.4,91.498,92.703,94.733,93.343,94.441,94.516,92.707,94.763,92.363,91.609,92.355,90.143,92.986,91.079,90.79,90.046
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",housing,71.647,66.407,69.813,76.757,70.619,75.051,74.162,65.637,72.699,65.397,70.911,72.891,62.376,74.263,72.532,76.07,70.939
13220,"Beckley, WV (Metropolitan Statistical Area)",all,83.47,78.277,84.945,84.097,83.624,87.298,87.527,87.541,83.255,84.69,86.185,86.304,83.446,89.334,88.176,89.503,88.369
13220,"Beckley, WV (Metropolitan Statistical Area)",housing,51.303,39.686,50.62,48.194,47.406,54.068,55.847,55.674,43.945,49.926,47.286,51.954,47.568,55.565,52.334,58.797,52.246
13380,"Bellingham, WA (Metropolitan Statistical Area)",all,96.187,102.321,99.766,103.238,101.976,100.385,101.094,101.21,98.69,100.971,104.208,104.061,103.516,104.581,105.956,104.012,103.334
13380,"Bellingham, WA (Metropolitan Statistical Area)",housing,96.602,111.822,104.639,112.35,106.346,103.629,108.496,113.659,103.343,107.182,108.467,112.022,110.978,121.27,109.595,109.586,112.946
13460,"Bend, OR (Metropolitan Statistical Area)",all,99.772,98.722,96.578,95.747,95.753,96.115,98.165,100.872,98.977,101.252,103.14,102.855,102.933,101.975,106.833,105.276,103.607
13460,"Bend, OR (Metropolitan Statistical Area)",housing,95.054,96.926,91.527,85.134,90.83,90.376,98.287,103.161,98.954,107.341,101.55,103.997,107.667,101.525,110.888,111.053,109.958
13740,"Billings, MT (Metropolitan Statistical Area)",all,94.956,95.773,94.981,96.801,97.965,96.322,97.119,96.809,94.817,97.158,94.189,95.693,92.219,92.297,91.666,90.35,93.526
13740,"Billings, MT (Metropolitan Statistical Area)",housing,82.56,72.048,77.061,78.769,85.548,83.265,88.932,87.088,82.992,85.395,86.26,86.663,74.939,84.99,81.815,72.917,77.364
13780,"Binghamton, NY (Metropolitan Statistical Area)",all,97.04,96.963,97.789,97.484,94.927,95.921,94.794,95.893,96.073,97.813,96.082,93.869,96.934,94.35,92.15,92.09,92.863
13780,"Binghamton, NY (Metropolitan Statistical Area)",housing,74.579,74.815,86.814,87.082,73.378,74.517,77.481,73.332,73.027,79.497,79.344,74.551,83.98,74.116,70.643,66.08,69.694
13820,"Birmingham, AL (Metropolitan Statistical Area)",all,92.687,91.451,93.268,94.277,93.674,93.885,93.244,93.148,94.053,92.832,90.052,90.901,91.379,90.424,91.027,91.765,91.644
13820,"Birmingham, AL (Metropolitan Statistical Area)",housing,71.38,70.922,72.882,75.142,71.371,72.453,68.796,68.736,69.837,67.548,70.411,69.756,74.271,70.259,68.9,71.741,71.851
13900,"Bismarck, ND (Metropolitan Statistical Area)",all,90.029,92.03,88.697,89.61,95.239,95.949,96.761,93.645,95.966,91.115,91.415,94.182,92.624,94.143,91.058,89.354,91.024
13900,"Bismarck, ND (Metropolitan Statistical Area)",housing,53.297,64.112,52.289,62.693,90.878,90.749,96.515,81.279,98.12,74.868,73.055,82.311,73.751,91.823,78.993,75.747,84.013
13980,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",all,87.924,87.412,90.186,90.557,88.58,92.037,91.816,91.496,88.412,88.739,91.601,90.927,91.005,92.042,93.018,90.912,92.71
13980,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",housing,65.922,76.396,75.291,77.436,67.084,77.398,79.743,77.901,63.985,73.727,75.768,74.376,78.015,72.95,75.906,67.46,74.371
14010,"Bloomington, IL (Metropolitan Statistical Area)",all,96.873,95.805,97.325,95.432,96.372,95.264,95.588,94.617,93.792,92.93,94.442,95.087,92.702,92.873,92.528,92.119,93.537
14010,"Bloomington, IL (Metropolitan Statistical Area)",housing,83.716,80.287,94.463,89.941,93.88,84.553,86.64,86.707,80.38,81.432,81.548,82.102,75.485,73.986,78.141,73.56,74.715
14020,"Bloomington, IN (Metropolitan Statistical Area)",all,94.281,96.536,94.893,95.415,94.195,94.113,94.909,94.252,95.448,93.659,93.803,94.564,93.392,93.952,93.025,93.385,95.084
14020,"Bloomington, IN (Metropolitan Statistical Area)",housing,83.609,95.111,87.949,96.944,85.538,82.65,88.367,90.82,96.472,90.369,81.888,83.369,81.552,83.023,80.837,81.176,85.59
